comment_id,comment_text,text_clean,distilbert_label,distilbert_score
1,shitiiiiiiiiii,shitiiiiiiiiii,negative,0.9989
2,the shit is shit,the shit is shit,negative,0.9994
3,Esprit is the best university,esprit is the best university,positive,0.9999
4,Esprit is the best University,esprit is the best university,positive,0.9999
5,your shit is beautiful,your shit is beautiful,positive,0.9997
6,your shit is bad,your shit is bad,negative,0.9998
7,flight was delayed,flight was delayed,negative,0.9988
8,bagage was late,bagage was late,negative,0.998
9,flight zas good,flight zas good,positive,0.9999
10,the flight is beautiful ,the flight is beautiful,positive,0.9999
11,flight was bad,flight was bad,negative,0.9998
12,shitty luggage holder,shitty luggage holder,negative,0.9998
13,The flight is bad,the flight is bad,negative,0.9998
14,the flight is good ,the flight is good,positive,0.9999
15,it's a good company !,it s a good company,positive,0.9999
